"size" "max_diss" "av_diss" "diameter" "separation"
120 3.56750846893857 0.292043557544219 4.54843827048283 0.233751607036855
100 4.91493011523111 0.958169143271367 5.71699156381057 0.502127614130033
94 2.37671704230241 0.684656796131241 3.40392489607623 0.198524067406385
134 2.69185262580488 0.708493088155631 4.36808299118862 0.0408753635238137
117 2.07290346485432 0.690538341222629 3.61984328029139 0.112528843048485
109 2.4590107878771 0.752689411163238 3.8533143439005 0.112528843048485
116 3.70895157341416 0.77750221035429 4.54892037609051 0.0408753635238137
75 3.43709940982302 1.06399147947981 4.87224664760137 0.145584163492071
47 3.71902835471179 0.813216684695251 5.45909670923581 0.257012513950802
43 4.03626074925582 1.56625111720053 5.79546768917805 0.269066589627021
